user_id,username,full_name,email,role,department,job_title,phone,location,join_date
32,elijah.martinez,Elijah Martinez,elijah.martinez@techcorpsolutions.com,requester,HR,HR Executive,001-437-645-2991,New Anthonyport,2024-07-23
33,barbara.odonnell,Barbara Odonnell,barbara.odonnell@techcorpsolutions.com,requester,Procurement,Vendor Manager,001-831-793-1491x905,New Deborahtown,2022-10-27
34,melissa.short,Melissa Short,melissa.short@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,(672)762-8498x776,Port Sarah,2021-03-23
35,joshua.hayes,Joshua Hayes,joshua.hayes@techcorpsolutions.com,requester,HR,Talent Acquisition Specialist,001-596-750-7527,Matthewview,2025-01-14
36,angela.black,Angela Black,angela.black@techcorpsolutions.com,agent,IT Support,IT Support Associate,367.683.7770,South Heather,2021-09-23
37,kevin.perkins,Kevin Perkins,kevin.perkins@techcorpsolutions.com,requester,HR,Talent Acquisition Specialist,356.485.5744x43135,East Joanna,2023-05-26
38,joshua.lawrence,Joshua Lawrence,joshua.lawrence@techcorpsolutions.com,requester,Network Operations,NOC Analyst,+1-641-234-3524x082,New Kellyberg,2025-02-04
39,dana.mullins,Dana Mullins,dana.mullins@techcorpsolutions.com,requester,Legal,Compliance Officer,6949777520,Port Cameronfort,2021-03-16
40,charles.soto,Charles Soto,charles.soto@techcorpsolutions.com,requester,IT Support,IT Support Associate,(594)813-1869,Kerrport,2020-11-30
41,michelle.branch,Michelle Branch,michelle.branch@techcorpsolutions.com,requester,Procurement,Vendor Manager,+1-309-413-3412x328,South Shannonfort,2022-05-28
42,kelly.hall,Kelly Hall,kelly.hall@techcorpsolutions.com,requester,Marketing,Marketing Executive,001-671-434-9361x832,North Gabrielport,2024-10-12
43,brooke.holloway,Brooke Holloway,brooke.holloway@techcorpsolutions.com,admin,HR,HR Manager,217.846.4887x719,Cassandratown,2026-01-18
44,christopher.hayden,Christopher Hayden,christopher.hayden@techcorpsolutions.com,requester,Sales,Sales Manager,001-990-649-0278,New Ryan,2025-07-18
45,lisa.costa,Lisa Costa,lisa.costa@techcorpsolutions.com,requester,Procurement,Procurement Executive,(755)612-5674x68071,Darrellfurt,2023-05-19
46,michelle.bryan,Michelle Bryan,michelle.bryan@techcorpsolutions.com,requester,Sales,Sales Manager,+1-976-203-8597,West Andrea,2020-08-09
47,sara.kim,Sara Kim,sara.kim@techcorpsolutions.com,requester,Finance,Accounts Executive,809-332-4808,Port Robin,2024-09-23
48,steven.wilson,Steven Wilson,steven.wilson@techcorpsolutions.com,requester,HR,Talent Acquisition Specialist,448.346.7737x8263,Kendrachester,2025-07-10
49,matthew.french,Matthew French,matthew.french@techcorpsolutions.com,requester,Procurement,Procurement Executive,9447997278,Andreaside,2022-03-07
50,nicholas.cantu,Nicholas Cantu,nicholas.cantu@techcorpsolutions.com,agent,Legal,Legal Associate,001-939-263-6057x662,New Tammy,2025-09-29
51,martin.garcia,Martin Garcia,martin.garcia@techcorpsolutions.com,requester,Marketing,Digital Marketing Specialist,687-702-6217,Santosmouth,2025-08-07
52,melissa.villarreal,Melissa Villarreal,melissa.villarreal@techcorpsolutions.com,requester,Finance,Finance Manager,478-609-1343x16117,North Markton,2022-11-06
53,kelly.brooks,Kelly Brooks,kelly.brooks@techcorpsolutions.com,requester,Network Operations,Network Administrator,569.922.2196x93792,Stevetown,2021-06-17
54,rachel.marshall,Rachel Marshall,rachel.marshall@techcorpsolutions.com,requester,Network Operations,Network Administrator,+1-921-675-9464,South Melissa,2022-04-20
55,daniel.james,Daniel James,daniel.james@techcorpsolutions.com,requester,HR,Talent Acquisition Specialist,740-564-0909x7439,New John,2022-09-21
56,karla.saunders,Karla Saunders,karla.saunders@techcorpsolutions.com,requester,Procurement,Procurement Executive,(310)647-0952,Julieburgh,2024-08-17
57,james.buchanan,James Buchanan,james.buchanan@techcorpsolutions.com,requester,Admin,Facilities Coordinator,(488)542-4745x171,Coffeyside,2025-10-14
58,michael.gibbs,Michael Gibbs,michael.gibbs@techcorpsolutions.com,requester,Procurement,Procurement Executive,+1-517-954-9651,New Nicoleside,2020-09-06
59,mark.bishop,Mark Bishop,mark.bishop@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,+1-474-861-2004x7113,Watsonside,2024-06-06
60,robert.newton,Robert Newton,robert.newton@techcorpsolutions.com,agent,Procurement,Vendor Manager,(717)796-4053x77351,South Joshuaville,2021-07-06
61,stacy.holloway,Stacy Holloway,stacy.holloway@techcorpsolutions.com,requester,Finance,Accounts Executive,390.505.3293,Port Molly,2021-02-21
62,mark.hernandez,Mark Hernandez,mark.hernandez@techcorpsolutions.com,requester,Admin,Admin Executive,4422284210,Kristybury,2025-12-05
63,brianna.smith,Brianna Smith,brianna.smith@techcorpsolutions.com,requester,IT Support,IT Support Associate,(368)911-7758,New Bradley,2022-03-03
64,krista.camacho,Krista Camacho,krista.camacho@techcorpsolutions.com,agent,IT Support,Senior Associate - IT Support,400.376.6177x115,West Claudia,2023-09-07
65,brenda.joseph,Brenda Joseph,brenda.joseph@techcorpsolutions.com,agent,IT Support,Desktop Support Engineer,+1-984-578-9611x836,Morganmouth,2022-11-08
66,raymond.blair,Raymond Blair,raymond.blair@techcorpsolutions.com,requester,Finance,Finance Analyst,245-727-1111x61528,South Michaelchester,2022-06-13
67,miranda.griffith,Miranda Griffith,miranda.griffith@techcorpsolutions.com,agent,Finance,Finance Manager,+1-745-319-8327x315,Audreychester,2026-04-30
68,megan.villegas,Megan Villegas,megan.villegas@techcorpsolutions.com,requester,Admin,Facilities Coordinator,+1-480-494-0244x550,Jonestown,2025-06-10
69,christopher.moreno,Christopher Moreno,christopher.moreno@techcorpsolutions.com,agent,Legal,Compliance Officer,252.354.5991x022,Scottchester,2022-10-28
70,todd.ramos,Todd Ramos,todd.ramos@techcorpsolutions.com,requester,Network Operations,Network Administrator,001-281-256-1497x84036,West Sierra,2022-03-20
71,katrina.duran,Katrina Duran,katrina.duran@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,707-362-2683,Hensleyton,2022-04-24
72,ryan.stevens,Ryan Stevens,ryan.stevens@techcorpsolutions.com,agent,IT Support,IT Support Associate,796-396-6416x05297,Richardbury,2021-01-22
73,ryan.morales,Ryan Morales,ryan.morales@techcorpsolutions.com,requester,Marketing,Marketing Executive,453-552-1818x8355,East Jonathanburgh,2021-01-23
74,carrie.wolf,Carrie Wolf,carrie.wolf@techcorpsolutions.com,requester,Finance,Finance Manager,(777)499-7995,Jonesmouth,2024-06-23
75,crystal.hogan,Crystal Hogan,crystal.hogan@techcorpsolutions.com,requester,Customer Success,Customer Success Associate,(881)947-7005x411,South Reginashire,2024-02-06
76,denise.morris,Denise Morris,denise.morris@techcorpsolutions.com,requester,Finance,Accounts Executive,(507)915-1820,Warrenburgh,2023-05-31
77,michael.hardin,Michael Hardin,michael.hardin@techcorpsolutions.com,agent,Procurement,Procurement Executive,001-759-305-1518x64492,West Kyle,2022-11-22
78,diana.bates,Diana Bates,diana.bates@techcorpsolutions.com,requester,Procurement,Procurement Executive,001-214-786-5281x685,Henryborough,2021-05-12
79,matthew.miranda,Matthew Miranda,matthew.miranda@techcorpsolutions.com,requester,Finance,Accounts Executive,(721)441-8880,Mooreburgh,2021-09-25
80,marie.wise,Marie Wise,marie.wise@techcorpsolutions.com,requester,Legal,Legal Associate,(970)565-3794,West Tammy,2025-05-21
81,kristen.mckee,Kristen Mckee,kristen.mckee@techcorpsolutions.com,requester,IT Support,Senior Associate - IT Support,+1-297-974-6886x23924,Angelaville,2021-09-30
82,jennifer.black,Jennifer Black,jennifer.black@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,924-778-2613,South Brianhaven,2021-05-03
83,nathaniel.hughes,Nathaniel Hughes,nathaniel.hughes@techcorpsolutions.com,requester,Legal,Compliance Officer,905.415.2204,Westtown,2021-01-30
84,rebecca.smith,Rebecca Smith,rebecca.smith@techcorpsolutions.com,agent,Procurement,Vendor Manager,(389)286-1434,South Danielle,2021-11-16
85,cindy.brown,Cindy Brown,cindy.brown@techcorpsolutions.com,requester,Sales,Sales Executive,598.808.9324x6095,Lake Elizabeth,2025-07-20
86,alexandra.ward,Alexandra Ward,alexandra.ward@techcorpsolutions.com,requester,Admin,Admin Executive,+1-788-680-6706,West Kristinastad,2026-03-29
87,john.sandoval,John Sandoval,john.sandoval@techcorpsolutions.com,requester,IT Support,IT Support Associate,001-952-405-8527,North Jennifer,2021-03-19
88,sherry.johnson,Sherry Johnson,sherry.johnson@techcorpsolutions.com,agent,Procurement,Procurement Executive,205.548.6874,Michaelton,2021-10-16
89,michelle.rivera,Michelle Rivera,michelle.rivera@techcorpsolutions.com,requester,Procurement,Procurement Executive,(366)876-5277x584,South Carrieburgh,2021-05-02
90,amy.morris,Amy Morris,amy.morris@techcorpsolutions.com,agent,Network Operations,Network Administrator,+1-644-279-6275x70596,Lake Danastad,2021-01-27
91,william.brady,William Brady,william.brady@techcorpsolutions.com,agent,Finance,Finance Analyst,7298702135,New Ericmouth,2021-07-18
92,stacy.watson,Stacy Watson,stacy.watson@techcorpsolutions.com,requester,Admin,Admin Executive,001-228-456-5431,Holmesside,2025-02-11
93,david.hampton,David Hampton,david.hampton@techcorpsolutions.com,agent,IT Support,IT Support Manager,494.973.1217,Port Evelynmouth,2024-10-06
94,elizabeth.mckinney,Elizabeth Mckinney,elizabeth.mckinney@techcorpsolutions.com,requester,Admin,Facilities Coordinator,742-725-8313x2370,Laraside,2023-11-08
95,david.henson,David Henson,david.henson@techcorpsolutions.com,requester,Finance,Finance Manager,(778)466-9125x1778,Port Tammy,2020-12-27
96,ryan.bartlett,Ryan Bartlett,ryan.bartlett@techcorpsolutions.com,requester,Finance,Finance Analyst,682-342-2535,Jamesside,2020-12-04
97,joshua.weber,Joshua Weber,joshua.weber@techcorpsolutions.com,requester,Sales,Account Manager,782-299-2299,North Brandonshire,2024-03-26
98,joseph.clark,Joseph Clark,joseph.clark@techcorpsolutions.com,requester,Network Operations,Network Engineer,+1-207-484-4736x471,Perrymouth,2023-12-26
99,james.lawson,James Lawson,james.lawson@techcorpsolutions.com,agent,Admin,Admin Executive,001-355-662-5881x537,Wrightville,2022-06-13
100,brent.dougherty,Brent Dougherty,brent.dougherty@techcorpsolutions.com,requester,Finance,Finance Manager,(232)359-5327x87747,Wagnerbury,2025-09-17
101,jason.gomez,Jason Gomez,jason.gomez@techcorpsolutions.com,requester,Marketing,Marketing Executive,297.848.0162x4565,New Annastad,2020-11-24
102,angela.jones,Angela Jones,angela.jones@techcorpsolutions.com,agent,Marketing,Digital Marketing Specialist,001-584-899-1216x55852,North Benjaminmouth,2023-08-01
103,linda.stone,Linda Stone,linda.stone@techcorpsolutions.com,requester,Procurement,Vendor Manager,925.695.2694x95888,Cabrerastad,2021-06-24
104,mark.rodriguez,Mark Rodriguez,mark.rodriguez@techcorpsolutions.com,requester,Procurement,Procurement Executive,809-474-9930x9728,North Ashley,2023-01-24
105,jackie.lee,Jackie Lee,jackie.lee@techcorpsolutions.com,requester,Procurement,Vendor Manager,(926)836-8970x28385,Suemouth,2023-03-18
106,rhonda.peterson,Rhonda Peterson,rhonda.peterson@techcorpsolutions.com,requester,Network Operations,Network Engineer,001-749-973-3484x34437,Annview,2022-09-11
107,keith.berry,Keith Berry,keith.berry@techcorpsolutions.com,requester,Network Operations,Network Administrator,(652)640-4157x4733,North Christina,2023-10-24
108,brenda.sanchez,Brenda Sanchez,brenda.sanchez@techcorpsolutions.com,requester,Sales,Account Manager,933.901.6571x20826,Port Tamara,2024-07-24
109,manuel.brewer,Manuel Brewer,manuel.brewer@techcorpsolutions.com,requester,Marketing,Marketing Executive,893-980-2620,Lake Suzanne,2025-12-21
110,sara.mcdowell,Sara Mcdowell,sara.mcdowell@techcorpsolutions.com,requester,Sales,Sales Manager,001-491-954-7887,Jamesville,2020-08-27
111,mark.simon,Mark Simon,mark.simon@techcorpsolutions.com,requester,IT Support,IT Support Associate,001-720-354-9329x668,Caldwellburgh,2024-06-07
112,tina.woods,Tina Woods,tina.woods@techcorpsolutions.com,admin,Sales,Sales Executive,2466374549,Heatherton,2026-02-19
113,elizabeth.marshall,Elizabeth Marshall,elizabeth.marshall@techcorpsolutions.com,requester,HR,Talent Acquisition Specialist,+1-784-814-5933x27279,Toddborough,2021-07-18
114,kathleen.becker,Kathleen Becker,kathleen.becker@techcorpsolutions.com,requester,HR,Talent Acquisition Specialist,587-485-1910,West Melissa,2024-02-15
115,scott.frazier,Scott Frazier,scott.frazier@techcorpsolutions.com,agent,Customer Success,Customer Success Associate,918.670.7286x7908,South Jonathantown,2024-11-03
116,julie.lane,Julie Lane,julie.lane@techcorpsolutions.com,admin,HR,Talent Acquisition Specialist,(718)801-7046x226,Kanefurt,2020-11-12
117,nicholas.vega,Nicholas Vega,nicholas.vega@techcorpsolutions.com,requester,Marketing,Marketing Manager,+1-525-212-8682,West Stevenside,2024-07-07
118,roger.gray,Roger Gray,roger.gray@techcorpsolutions.com,agent,Customer Success,Customer Success Associate,352.343.1069x033,South Carlaton,2021-12-16
119,john.williams,John Williams,john.williams@techcorpsolutions.com,requester,Marketing,Marketing Executive,+1-730-528-4395,Nancyhaven,2023-03-13
120,jeffrey.turner,Jeffrey Turner,jeffrey.turner@techcorpsolutions.com,requester,Finance,Finance Manager,001-726-887-0568,Hernandezfurt,2020-12-16
121,ivan.medina,Ivan Medina,ivan.medina@techcorpsolutions.com,requester,Network Operations,NOC Analyst,442.870.8668,West James,2022-01-09
122,deborah.nielsen,Deborah Nielsen,deborah.nielsen@techcorpsolutions.com,requester,Customer Success,Customer Success Associate,383-504-6990,South Jason,2025-08-11
123,rebecca.turner,Rebecca Turner,rebecca.turner@techcorpsolutions.com,requester,Finance,Accounts Executive,731.673.9363,Owensstad,2025-12-23
124,kyle.ward,Kyle Ward,kyle.ward@techcorpsolutions.com,admin,HR,HR Manager,217.653.5560x932,Phillipsborough,2025-10-27
125,mark.james,Mark James,mark.james@techcorpsolutions.com,requester,Marketing,Digital Marketing Specialist,485.247.7725x2287,Port Melanieton,2025-07-12
126,kathy.gutierrez,Kathy Gutierrez,kathy.gutierrez@techcorpsolutions.com,agent,Finance,Finance Analyst,912.903.8750,North Amandachester,2025-08-01
127,alexander.moreno,Alexander Moreno,alexander.moreno@techcorpsolutions.com,requester,Network Operations,NOC Analyst,608-762-1182x3398,Lauraland,2022-03-23
128,nathan.sullivan,Nathan Sullivan,nathan.sullivan@techcorpsolutions.com,agent,Legal,Legal Associate,001-234-410-1666x870,South Meganmouth,2023-12-10
129,ariel.hodge,Ariel Hodge,ariel.hodge@techcorpsolutions.com,requester,Legal,Compliance Officer,703.239.7401x48902,New Douglas,2021-03-01
130,lori.nicholson,Lori Nicholson,lori.nicholson@techcorpsolutions.com,admin,Finance,Accounts Executive,229-339-6856x2185,Hallland,2026-02-04
131,matthew.mack,Matthew Mack,matthew.mack@techcorpsolutions.com,requester,Finance,Finance Analyst,(850)347-7358x6629,Laurenland,2026-04-01
132,christopher.moore,Christopher Moore,christopher.moore@techcorpsolutions.com,requester,Network Operations,NOC Analyst,+1-426-355-1104x7541,South Shane,2024-10-22
133,angela.russell,Angela Russell,angela.russell@techcorpsolutions.com,requester,Procurement,Vendor Manager,(581)499-5604x661,Jacksonview,2020-10-02
134,kevin.snyder,Kevin Snyder,kevin.snyder@techcorpsolutions.com,requester,Procurement,Vendor Manager,(346)447-1543x79937,Adamfurt,2020-12-21
135,martin.oliver,Martin Oliver,martin.oliver@techcorpsolutions.com,agent,Network Operations,NOC Analyst,775-669-2459x37526,Faulknerbury,2025-05-10
136,mark.ramirez,Mark Ramirez,mark.ramirez@techcorpsolutions.com,agent,Sales,Sales Executive,(619)339-8280x737,Chambersberg,2025-04-01
137,cynthia.allen,Cynthia Allen,cynthia.allen@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,001-266-717-9796x886,North Kaylastad,2024-06-30
138,gabriel.salazar,Gabriel Salazar,gabriel.salazar@techcorpsolutions.com,requester,Marketing,Digital Marketing Specialist,+1-565-961-0143x8889,Petershire,2023-12-07
139,hannah.hernandez,Hannah Hernandez,hannah.hernandez@techcorpsolutions.com,requester,Procurement,Procurement Executive,914.761.1254x5738,Davismouth,2026-07-03
140,luis.evans,Luis Evans,luis.evans@techcorpsolutions.com,requester,Admin,Admin Executive,405-712-3828,Mullenbury,2025-05-23
141,lauren.soto,Lauren Soto,lauren.soto@techcorpsolutions.com,requester,Customer Success,Customer Success Associate,+1-366-309-3796x60334,West Mark,2021-09-13
142,stephen.baker,Stephen Baker,stephen.baker@techcorpsolutions.com,requester,Procurement,Procurement Executive,359.469.6915x57924,Davidport,2025-09-14
143,daryl.brooks,Daryl Brooks,daryl.brooks@techcorpsolutions.com,requester,Network Operations,Network Administrator,(969)629-6627x8282,East Leonard,2021-06-08
144,shannon.brown,Shannon Brown,shannon.brown@techcorpsolutions.com,requester,Admin,Facilities Coordinator,9728368876,Burnsland,2022-09-21
145,ariana.flynn,Ariana Flynn,ariana.flynn@techcorpsolutions.com,requester,Network Operations,Network Administrator,3433842797,Kimberlystad,2021-11-26
146,amber.sherman,Amber Sherman,amber.sherman@techcorpsolutions.com,requester,Procurement,Vendor Manager,983.361.3407x451,East Lisa,2025-02-04
147,brianna.bell,Brianna Bell,brianna.bell@techcorpsolutions.com,requester,Marketing,Digital Marketing Specialist,+1-462-792-3309x5849,Keithview,2024-10-20
148,stephanie.robertson,Stephanie Robertson,stephanie.robertson@techcorpsolutions.com,agent,Procurement,Procurement Executive,726-504-2232,Burnsshire,2025-12-04
149,cynthia.burton,Cynthia Burton,cynthia.burton@techcorpsolutions.com,requester,Customer Success,Customer Success Associate,216-384-5775,Reidstad,2022-10-26
150,melissa.flynn,Melissa Flynn,melissa.flynn@techcorpsolutions.com,requester,Sales,Account Manager,(237)345-4589x29750,Smithburgh,2022-12-14
151,scott.smith,Scott Smith,scott.smith@techcorpsolutions.com,requester,IT Support,Desktop Support Engineer,724.424.1541,South Conniebury,2026-04-08
152,ruben.davis,Ruben Davis,ruben.davis@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,271.729.3870,Port Robertberg,2021-02-28
153,tim.perez,Tim Perez,tim.perez@techcorpsolutions.com,requester,Legal,Legal Associate,315-254-2622,South Michael,2021-02-16
154,jason.goodman,Jason Goodman,jason.goodman@techcorpsolutions.com,agent,HR,Talent Acquisition Specialist,+1-473-511-2196x565,Deannabury,2026-01-15
155,angela.greene,Angela Greene,angela.greene@techcorpsolutions.com,agent,Procurement,Vendor Manager,001-304-538-9836x40376,Littleland,2024-03-12
156,allison.levine,Allison Levine,allison.levine@techcorpsolutions.com,requester,Finance,Finance Manager,626-596-5827x10910,North Stacyfurt,2026-06-09
157,william.fuller,William Fuller,william.fuller@techcorpsolutions.com,admin,Finance,Accounts Executive,(466)718-8924x14183,Willisland,2023-07-25
158,kyle.kim,Kyle Kim,kyle.kim@techcorpsolutions.com,requester,Finance,Finance Analyst,203.616.1799,North Alexander,2026-03-29
159,derrick.smith,Derrick Smith,derrick.smith@techcorpsolutions.com,requester,Network Operations,NOC Analyst,(688)342-5241x056,Jennifershire,2023-07-15
160,courtney.crawford,Courtney Crawford,courtney.crawford@techcorpsolutions.com,requester,Admin,Admin Executive,3795252419,North Micheletown,2023-08-15
161,john.ruiz,John Ruiz,john.ruiz@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,(720)686-3536,New Nathanhaven,2022-11-12
162,emily.williams,Emily Williams,emily.williams@techcorpsolutions.com,requester,HR,Talent Acquisition Specialist,606.617.4451x87053,South Micheal,2021-12-02
163,teresa.cuevas,Teresa Cuevas,teresa.cuevas@techcorpsolutions.com,requester,Network Operations,NOC Analyst,001-883-620-6038x5050,East Alyssabury,2025-03-10
164,robert.woodward,Robert Woodward,robert.woodward@techcorpsolutions.com,agent,Procurement,Vendor Manager,(341)303-8657,Lake Lori,2026-05-09
165,charles.bradley,Charles Bradley,charles.bradley@techcorpsolutions.com,requester,Finance,Accounts Executive,(634)545-6557,East Derekshire,2023-03-04
166,daniel.garcia,Daniel Garcia,daniel.garcia@techcorpsolutions.com,requester,Legal,Compliance Officer,261-585-3747x41124,Eddiebury,2023-04-05
167,tanya.foster,Tanya Foster,tanya.foster@techcorpsolutions.com,requester,Legal,Compliance Officer,342-206-7883x1712,Port Kimberlybury,2020-11-20
168,david.colon,David Colon,david.colon@techcorpsolutions.com,requester,Procurement,Vendor Manager,+1-319-294-1013x7215,Williamsshire,2022-10-20
169,ryan.ramsey,Ryan Ramsey,ryan.ramsey@techcorpsolutions.com,requester,Legal,Compliance Officer,(562)653-2447x2099,Jenkinsside,2023-07-15
170,timothy.miller,Timothy Miller,timothy.miller@techcorpsolutions.com,requester,Finance,Finance Manager,(738)838-0657x87598,Hectormouth,2022-11-12
171,carla.johnson,Carla Johnson,carla.johnson@techcorpsolutions.com,requester,Procurement,Vendor Manager,207-585-9321x334,Kellyburgh,2025-05-24
172,gregory.watkins,Gregory Watkins,gregory.watkins@techcorpsolutions.com,agent,Sales,Account Manager,001-659-405-9929x378,Johnsonton,2025-05-15
173,jesse.robinson,Jesse Robinson,jesse.robinson@techcorpsolutions.com,requester,Sales,Sales Executive,2594325250,Port Daniel,2023-09-18
174,alicia.diaz,Alicia Diaz,alicia.diaz@techcorpsolutions.com,agent,Marketing,Marketing Manager,001-469-715-4522x675,Lake Brianna,2021-01-10
175,gregory.parker,Gregory Parker,gregory.parker@techcorpsolutions.com,requester,HR,HR Executive,(720)596-9029,South Donaldland,2024-09-02
176,john.haas,John Haas,john.haas@techcorpsolutions.com,requester,HR,Talent Acquisition Specialist,657-304-3315,North Paulchester,2021-08-04
177,tanya.wilkerson,Tanya Wilkerson,tanya.wilkerson@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,(258)761-7932x7104,Stephanieland,2023-07-08
178,matthew.barron,Matthew Barron,matthew.barron@techcorpsolutions.com,agent,Legal,Compliance Officer,481-859-9706,North Craig,2021-07-20
179,jamie.lee,Jamie Lee,jamie.lee@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,001-284-744-3106x9872,South Christopherfort,2024-09-21
180,james.johnson,James Johnson,james.johnson@techcorpsolutions.com,requester,Admin,Admin Executive,717-814-6774x1862,Jacobton,2021-08-11
181,jose.marshall,Jose Marshall,jose.marshall@techcorpsolutions.com,requester,Admin,Facilities Coordinator,290-821-1586x938,Sheppardfort,2021-12-08
182,ashley.young,Ashley Young,ashley.young@techcorpsolutions.com,requester,Marketing,Digital Marketing Specialist,(508)498-9921x7223,South Christianchester,2022-05-14
183,james.carson,James Carson,james.carson@techcorpsolutions.com,requester,Customer Success,Customer Success Associate,+1-945-211-6868x548,Rodriguezberg,2021-06-22
184,eddie.matthews,Eddie Matthews,eddie.matthews@techcorpsolutions.com,requester,Sales,Account Manager,819-914-8564,Johnsonview,2025-01-31
